Customer ID,Name,Customer type,Registration no,VAT no,City,Country,Registration date,Updated date
CUST-632342,Solbit Systeme GmbH,business,DE214257751,DE214257751,Dusseldorf,DE,2016-09-10,2023-12-10
CUST-246316,Blipware Systems GmbH,business,DE890779946,DE 890779946,Nuremberg,DE,2022-03-26,2022-10-20
CUST-270395,Drelnex AB,business,SE980366101353,SE980366101353,Gothenburg,SE,2019-04-01,2019-08-10
CUST-790993,Ultrabit Systeme GmbH,business,DE562837684,DE562837684,Berlin,DE,2019-03-22,2024-07-15
CUST-915451,Genovabit SRL,business,IT76663475091,IT76663475091,Genoa,IT,2016-02-28,2021-03-04
CUST-172132,Fomtex France SAS,business,FR41496776692,FR41496776692,Lyon,FR,2019-10-30,2023-04-21
CUST-329471,Torinbit SRL,business,IT72354153747,,Turin,ITA,2015-08-04,2025-12-16
CUST-930555,Datalux GmbH,business,DE830661141,DE830661141,Leipzig,DE,2011-06-05,2020-02-20
CUST-992697,Nexivo Solutions SARL,business,FR33173574218,FR33173574218,Paris,France,2015-04-11,2019-11-19
CUST-585100,Yottabit Systeme GmbH,business,DE368227631,DE368227631,Dusseldorf,DE,2011-09-10,2021-09-17
CUST-287241,Voltex Sverige AB,business,SE391987126394,,Uppsala,SE,2019-09-30,2023-09-14
CUST-731262,Quorbit Solutions GmbH,business,DE128492780,DE128492780,Frankfurt,DE,2022-03-23,2024-08-28
CUST-233470,Poztech Sp. z o.o.,business,PL6118914230,PL6118914230,Poznan,PL,2018-07-03,2020-07-14
CUST-515011,Plonex France SARL,business,FR26821221887,FR26821221887,Lille,FRA,2020-04-03,2023-11-19
CUST-454508,Polybit Elektronik GmbH,business,DE122585366,DE122585366,Frankfurt,DE,2015-03-01,2021-11-04
CUST-400850,Antwertech NV,business,BE6197695041,BE6197695041,Antwerp,BE,2017-03-24,2022-07-10
CUST-820892,Vektaro Handel BV,business,NL781007818B43,NL781007818B43,Rotterdam,NL,2015-08-20,2025-11-13
CUST-972064,Voltron Systems GmbH,business,DE966267851,DE966267851,Nuremberg,DE,2011-04-20,2016-10-13
CUST-989545,Bolbit SRL,business,IT70650773366,IT706507733,Bologna,IT,2020-06-03,2024-03-31
CUST-143860,Blipcore Nederland BV,business,NL430989881B56,NL430989881B56,Utrecht,NL,2010-11-23,2019-01-01
CUST-958179,Liegetech SA,business,BE2333241445,BE2333241445,Liege,BE,2013-04-22,2013-12-08
CUST-563246,Ghentbit BVBA,business,BE5659161352,BE5659161352,Ghent,BEL,2017-07-08,2018-08-24
CUST-922733,Terrabit Handel GmbH,business,DE607850824,DE607850824,Munich,DE,2014-04-09,2016-06-19
CUST-890170,Alphabit Handel GmbH,business,DE353810544,DE3538105,Frankfurt,DE,2020-11-22,2023-09-03
CUST-770487,Veltron Technik GmbH,business,DE219540831,,Frankfurt,DE,2016-03-03,2018-12-31
CUST-262998,Plonix Distributie BV,business,NL392431670B46,NL392431670B46,Utrecht,NLD,2017-09-09,2020-01-20
CUST-262316,Deltabit Handel GmbH,business,DE303901283,DE303901283,Dusseldorf,DE,2011-04-25,2024-05-20
CUST-266931,Gorvex Nordic AB,business,SE872180893759,SE 872180893759,Uppsala,SE,2010-11-14,2021-07-04
CUST-542417,Zornex Handel GmbH,business,DE134126396,,Dusseldorf,DE,2014-11-27,2017-08-05
CUST-333238,Nexbit Sverige AB,business,SE998505323632,SE998505323632,Stockholm,SWE,2017-11-04,2021-05-07
CUST-163918,Epsilonbit Systeme GmbH,business,DE903132646,DE903132646,Dresden,DE,2011-02-15,2024-04-22
CUST-787926,Romabit SRL,business,IT12953315788,IT12953315788,Rome,IT,2012-05-23,2022-01-03
CUST-738551,Rapidex GmbH,business,DE313579170,DE3135791,Dusseldorf,DE,2013-08-16,2025-10-20
CUST-946335,Trimvolt GmbH,business,DE146654552,DE146654552,Leipzig,DE,2022-01-10,2022-10-22
CUST-371782,Napolibit SRL,business,IT43293627790,IT43293627790,Naples,IT,2016-03-21,2024-11-20
CUST-741390,Nexbit France SARL,business,FR93667945747,,Paris,FR,2022-06-10,2024-03-14
CUST-320281,Voltex Handel BV,business,NL832363533B41,NL832363533B41,Eindhoven,NL,2017-12-07,2024-04-17
CUST-299448,Xenobit GmbH,business,DE675832441,DE675832441,Stuttgart,DE,2019-06-19,2021-08-08
CUST-225710,Blorvex Systemes SAS,business,FR82364371717,FR82364371717,Marseille,FR,2010-11-22,2024-11-11
CUST-185965,Quormax France SARL,business,FR63805849060,FR63805849060,Bordeaux,FR,2021-09-22,2023-07-31
CUST-182627,Gorvex Elektronik GmbH,business,DE692749116,DE692749116,Frankfurt,DE,2018-02-10,2024-08-31
CUST-100599,Teknobit Handel GmbH,business,DE743111853,DE743111853,Cologne,DE,2010-06-09,2013-01-10
CUST-853240,Milanbit SRL,business,IT64530426279,IT64530426279,Milan,IT,2015-06-22,2017-03-17
