delivery_confirm_id,order_id,delivery_confirm_date,delivery_country
CONF-852293,ORD-2027-344181,2027-01-28,Italy
CONF-646174,ORD-2027-299451,2027-02-17,Germany
CONF-408433,ORD-2026-366431,2027-01-29T14:10:00,Poland
CONF-312861,ORD-2027-961530,2027-02-21,Poland
CONF-570665,ORD-2026-961599,2027-01-24,Sweden
CONF-154961,ORD-2026-817999,2027-01-26,Italy
CONF-933853,ORD-2027-653971,2027-02-18,France
CONF-604098,ORD-2027-537020,2027-02-17,Germany
CONF-139609,ORD-2027-200932,04/02/2027,Poland
CONF-663718,ORD-2026-832377,2027-01-06,Poland
CONF-206773,ORD-2026-185916,2027-01-22,Germany
CONF-620021,ORD-2026-578073,2027-01-14,Germany
CONF-582134,ORD-2026-162241,2027-01-19,France
CONF-936274,ORD-2027-106658,2027-02-17,Poland
CONF-386735,ORD-2026-687019,2027-02-01,Belgium
CONF-774920,ORD-2027-812591,07-02-2027,Poland
CONF-810912,ORD-2027-520400,28/01/2027,Belgium
CONF-133287,ORD-2026-438277,2027-01-19T09:19:00,France
CONF-784925,ORD-2027-677759,2027-02-08,Italy
CONF-305611,ORD-2026-313068,2027-02-04,Italy
CONF-812449,ORD-2027-341026,2027-02-09,Sweden
CONF-961784,ORD-2027-145240,2027-02-10,Germany
CONF-894029,ORD-2026-945197,2027-02-07,Germany
CONF-284234,ORD-2026-470057,2027-01-26,Germany
CONF-298754,ORD-2026-252203,2027-01-24,Germany
CONF-299080,ORD-2026-189067,2027-02-01,Germany
CONF-129226,ORD-2027-945619,2027-02-07,Italy
CONF-882193,ORD-2026-856027,2027-01-25,Italy
CONF-578221,ORD-2027-958914,24-01-2027,Germany
CONF-792299,ORD-2027-799155,15 Jan 2027,Italy
CONF-592053,ORD-2026-258477,2027-02-11,Germany
CONF-903774,ORD-2027-611540,2027-02-09,Germany
CONF-992919,ORD-2027-191962,2027-01-30,Sweden
CONF-557019,ORD-2027-978343,2027-01-28,Germany
CONF-101760,ORD-2026-755520,2027-02-15,Germany
CONF-360610,ORD-2026-196973,2027-01-26,Italy
CONF-276037,ORD-2027-336540,2027-01-30,Italy
CONF-311537,ORD-2026-254850,2027-01-17,Italy
CONF-456329,ORD-2027-332542,2027-02-15,Italy
CONF-110342,ORD-2026-587222,13-02-2027,Germany
CONF-838247,ORD-2026-517307,2027-02-02,Italy
CONF-544613,ORD-2027-852658,6 Feb 2027,Netherlands
CONF-538136,ORD-2027-209493,2027-02-01,Italy
CONF-633618,ORD-2027-864201,2027-01-25,Poland
CONF-686625,ORD-2027-507135,2027-02-02,Germany
CONF-666931,ORD-2027-648532,2027-02-15,Netherlands
CONF-570717,ORD-2026-161010,2027-01-28,Germany
CONF-227980,ORD-2027-187336,2027-01-14,Italy
CONF-875758,ORD-2026-931161,2027-01-21,Germany
CONF-437260,ORD-2027-892453,26 Jan 2027,Germany
CONF-907483,ORD-2026-257538,2027-01-15,Germany
CONF-432963,ORD-2027-417003,2027-02-10,Sweden
CONF-412856,ORD-2027-415535,2027-02-11,France
CONF-336004,ORD-2027-672255,2027-01-29,Poland
CONF-374505,ORD-2026-346415,2027-01-26,France
CONF-149246,ORD-2027-167603,2027-02-06,France
CONF-349937,ORD-2026-432695,2027-01-29,Italy
CONF-832453,ORD-2026-231113,2027-01-17,Belgium
CONF-486643,ORD-2027-921533,21-02-2027,Sweden
CONF-694639,ORD-2026-580854,2027-01-28,Belgium
CONF-131566,ORD-2026-365953,2027-01-25,Italy
CONF-227630,ORD-2027-325465,2027-01-11,France
CONF-447618,ORD-2026-753050,2027-01-18,Germany
CONF-695791,ORD-2026-104877,2027-01-30,Poland
CONF-303846,ORD-2026-381342,2027-01-29,Netherlands
CONF-315893,ORD-2026-709231,2027-01-26,Netherlands
CONF-314313,ORD-2026-646384,2027-02-02,Germany
CONF-901215,ORD-2026-193035,27-01-2027,Germany
CONF-263450,ORD-2026-626100,2027-01-29,France
CONF-981336,ORD-2027-176054,2027-02-16,Italy
CONF-848420,ORD-2027-309174,2027-01-19,Belgium
CONF-279938,ORD-2027-849941,2027-02-10,Netherlands
CONF-840367,ORD-2027-138842,2027-01-24,France
CONF-732672,ORD-2027-616256,2027-02-19,Belgium
CONF-700446,ORD-2027-280077,2027-01-27,France
CONF-311037,ORD-2026-451936,2027-02-08,France
CONF-830322,ORD-2026-249077,2027-01-16,France
CONF-648055,ORD-2027-508937,2027-02-01,Poland
CONF-230889,ORD-2027-617033,18-02-2027,Poland
