order_line_id,order_id,order_date,customer_id,delivery_place_id,product_id,product_description,product_type,quantity,uom,unit_price,currency
OL-003,ORD-2027-746036,12/01/2027,CUST-627276,DEL-88831486,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,86,pcs,112.5,EUR
OL-003,ORD-2027-874368,2027-01-24,CUST-972064,DEL-23494908,PROD-192837,Droxel 65W GaN Charger,Product,74,pcs,28.4,EUR
OL-002,ORD-2026-552091,2026-12-11,CUST-172132,DEL-42866956,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,23,m,8.9,EUR
OL-001,ORD-2026-570988,2026-12-18,CUST-863587,DEL-95318289,PROD-639182,Blipcore Wireless Adapter AC1200,Product,75,pcs,22.8,EUR
OL-002,ORD-2026-249077,09-12-2026,CUST-771088,DEL-96911784,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,99,pcs,112.5,EUR
OL-001,ORD-2027-501312,2027-01-13,CUST-877236,DEL-53622663,PROD-639182,Blipcore Wireless Adapter AC1200,Product,9,pcs,22.8,EUR
OL-001,ORD-2027-888996,2027-02-08,CUST-877236,DEL-44675473,PROD-583047,Veltric UPS 600VA Tower,Product,94,pcs,78.6,EUR
OL-001,ORD-2026-359662,2026-11-16,CUST-225710,DEL-43878996,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,67,m,8.9,EUR
OL-001,ORD-2026-587222,2026-12-16,CUST-100599,DEL-56420476,PROD-192837,Droxel 65W GaN Charger,Product,8,pcs,28.4,EUR
OL-002,ORD-2027-863220,2027-02-01,CUST-185965,DEL-95462880,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,51,pcs,112.5,EUR
OL-001,ORD-2027-666893,2027-01-07,CUST-731262,DEL-28761086,PROD-847263,Nexboard Mechanical Keyboard TKL,Product,57,pcs,67.0,EUR
OL-003,ORD-2027-342716,2027-01-14,CUST-526117,DEL-37888820,PROD-029384,Trimbit Docking Station 12-in-1,Product,82,pcs,89.9,EUR
OL-001,ORD-2026-556297,2026-12-31,CUST-542417,DEL-42847661,PROD-029384,Trimbit Docking Station 12-in-1,Product,29,pcs,89.9,EUR
OL-002,ORD-2026-755520,2026-12-22,CUST-922733,DEL-64414096,PROD-271045,Vantec USB-C Hub 9-port,Product,46,pcs,34.5,EUR
OL-003,ORD-2026-935750,2026-12-14,CUST-738551,DEL-16917129,PROD-483921,Zoltrix 4K Display Module 27in,Product,71,pcs,189.99,EUR
OL-001,ORD-2026-675771,2026-12-19,CUST-288073,DEL-36950221,PROD-271045,Vantec USB-C Hub 9-port,Product,78,pcs,34.5,EUR
OL-002,ORD-2027-280077,2027-01-20,CUST-371782,DEL-45000508,PROD-583047,Veltric UPS 600VA Tower,Product,78,pcs,78.6,EUR
OL-001,ORD-2026-646384,2026-12-04,CUST-324643,DEL-59930790,PROD-583047,Veltric UPS 600VA Tower,Product,72,pcs,78.6,EUR
OL-002,ORD-2026-196973,2026-12-28,CUST-989545,DEL-53106399,PROD-847263,Nexboard Mechanical Keyboard TKL,Product,99,pcs,67.0,EUR
OL-003,ORD-2026-536135,2026-12-24,CUST-806073,DEL-33386929,PROD-271045,Vantec USB-C Hub 9-port,Product,43,pcs,34.5,EUR
OL-002,ORD-2026-578073,2026-12-20,CUST-571029,DEL-32814819,PROD-583047,Veltric UPS 600VA Tower,Product,18,pcs,78.6,EUR
OL-001,ORD-2026-648684,2026-12-28,CUST-181247,DEL-67611469,PROD-461829,Plonex Webcam 1080p Pro,Product,80,pcs,44.0,EUR
OL-001,ORD-2027-213844,2027-01-11,CUST-520521,DEL-51936181,PROD-847263,Nexboard Mechanical Keyboard TKL,Product,67,pcs,67.0,EUR
OL-001,ORD-2027-386929,2027-01-30,CUST-246316,DEL-99635939,PROD-483921,Zoltrix 4K Display Module 27in,Product,80,pcs,189.99,EUR
OL-001,ORD-2026-709231,2026-12-26,CUST-103717,DEL-41711468,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,47,m,8.9,EUR
OL-002,ORD-2026-670792,2026-12-20,CUST-520521,DEL-60015814,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,10,pcs,112.5,EUR
OL-001,ORD-2026-892843,2026-12-22,CUST-989545,DEL-97550053,PROD-271045,Vantec USB-C Hub 9-port,Product,53,pcs,34.5,EUR
OL-001,ORD-2027-493754,2027-01-12,CUST-100599,DEL-42275631,PROD-483921,Zoltrix 4K Display Module 27in,Product,26,pcs,189.99,EUR
OL-001,ORD-2027-520400,2027-01-19,CUST-176819,DEL-75884623,PROD-029384,Trimbit Docking Station 12-in-1,Product,37,pcs,89.9,EUR
OL-001,ORD-2027-183057,2027-01-03,CUST-660086,DEL-58841557,PROD-847263,Nexboard Mechanical Keyboard TKL,Product,98,pcs,67.0,EUR
OL-003,ORD-2026-448098,20/12/2026,CUST-891952,DEL-73280554,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,29,m,8.9,EUR
OL-003,ORD-2027-238948,2027-01-22,CUST-288073,DEL-22097496,PROD-271045,Vantec USB-C Hub 9-port,Product,87,pcs,34.5,EUR
OL-001,ORD-2026-935750,2026-12-14,CUST-738551,DEL-16917129,PROD-639182,Blipcore Wireless Adapter AC1200,Product,83,pcs,22.8,EUR
OL-002,ORD-2027-800596,30/01/2027,CUST-838797,DEL-26297533,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,71,pcs,112.5,EUR
OL-001,ORD-2026-252203,2026-11-29,CUST-863587,DEL-95318289,PROD-583047,Veltric UPS 600VA Tower,Product,9,pcs,78.6,EUR
OL-001,ORD-2027-892453,2027-01-14,CUST-790993,DEL-77493234,PROD-583047,Veltric UPS 600VA Tower,Product,12,pcs,78.6,EUR
OL-002,ORD-2027-287847,2027-01-14,CUST-559381,DEL-67279295,PROD-639182,Blipcore Wireless Adapter AC1200,Product,98,pcs,22.8,EUR
OL-001,ORD-2026-825104,2026-11-19,CUST-656932,DEL-20071854,PROD-583047,Veltric UPS 600VA Tower,Product,59,pcs,78.6,EUR
OL-001,ORD-2027-238327,2027-01-05,CUST-163918,DEL-46930534,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,91,m,8.9,EUR
OL-002,ORD-2026-956835,2026-12-14,CUST-766563,DEL-60319927,PROD-271045,Vantec USB-C Hub 9-port,Product,84,pcs,34.5,EUR
OL-001,ORD-2027-775990,14-01-2027,CUST-922157,DEL-26937148,PROD-271045,Vantec USB-C Hub 9-port,Product,33,pcs,34.5,EUR
OL-002,ORD-2027-539673,05/01/2027,CUST-320281,DEL-65350347,PROD-192837,Droxel 65W GaN Charger,Product,45,pcs,28.4,EUR
OL-002,ORD-2027-253672,2027-01-20,CUST-225710,DEL-43878996,PROD-583047,Veltric UPS 600VA Tower,Product,17,pcs,78.6,EUR
OL-002,ORD-2026-454877,2026-12-01,CUST-148458,DEL-28419343,PROD-483921,Zoltrix 4K Display Module 27in,Product,1,pcs,189.99,EUR
OL-002,ORD-2026-114663,17/12/2026,CUST-958179,DEL-49597485,PROD-583047,Veltric UPS 600VA Tower,Product,69,pcs,78.6,EUR
OL-002,ORD-2026-749253,19/12/2026,CUST-107540,DEL-68755000,PROD-192837,Droxel 65W GaN Charger,Product,62,pcs,28.4,EUR
OL-001,ORD-2026-819871,2026-12-02,CUST-863587,DEL-95318289,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,31,pcs,112.5,EUR
OL-001,ORD-2027-407645,2027-01-19,CUST-741390,DEL-71851421,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,61,pcs,112.5,EUR
OL-002,ORD-2027-832614,13-01-2027,CUST-373432,DEL-42655866,PROD-483921,Zoltrix 4K Display Module 27in,Product,56,pcs,189.99,EUR
OL-001,ORD-2027-402380,2027-01-20,CUST-820892,DEL-20607151,PROD-271045,Vantec USB-C Hub 9-port,Product,22,pcs,34.5,EUR
OL-002,ORD-2026-366431,2026-12-06,CUST-444207,DEL-26733967,PROD-583047,Veltric UPS 600VA Tower,Product,5,pcs,78.6,EUR
OL-002,ORD-2026-162241,2026-11-22,CUST-771088,DEL-96911784,PROD-461829,Plonex Webcam 1080p Pro,Product,42,pcs,44.0,EUR
OL-002,ORD-2026-412974,2026-12-25,CUST-340174,DEL-86745380,PROD-029384,Trimbit Docking Station 12-in-1,Product,82,pcs,89.9,EUR
OL-002,ORD-2026-891662,2026-12-15,CUST-172132,DEL-31217198,PROD-639182,Blipcore Wireless Adapter AC1200,Product,50,pcs,22.8,EUR
OL-001,ORD-2026-414985,11-12-2026,CUST-766563,DEL-60319927,PROD-583047,Veltric UPS 600VA Tower,Product,49,pcs,78.6,EUR
OL-001,ORD-2026-665482,2026-12-14,CUST-812526,DEL-47388792,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,67,pcs,112.5,EUR
OL-002,ORD-2026-347565,2026-12-28,CUST-225710,DEL-43878996,PROD-461829,Plonex Webcam 1080p Pro,Product,86,pcs,44.0,EUR
OL-002,ORD-2026-713886,14 Dec 2026,CUST-960394,DEL-20593403,PROD-639182,Blipcore Wireless Adapter AC1200,Product,4,pcs,22.8,EUR
OL-001,ORD-2026-982417,2026-12-30,CUST-660086,DEL-54250344,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,16,pcs,112.5,EUR
OL-001,ORD-2026-956835,2026-12-14,CUST-766563,DEL-60319927,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,99,pcs,112.5,EUR
OL-002,ORD-2027-439817,2027-01-02,CUST-960394,DEL-20593403,PROD-271045,Vantec USB-C Hub 9-port,Product,82,pcs,34.5,EUR
OL-002,ORD-2027-510623,02-01-2027,CUST-653306,DEL-24039158,PROD-639182,Blipcore Wireless Adapter AC1200,Product,73,pcs,22.8,EUR
OL-001,ORD-2027-209493,2027-01-23,CUST-454508,DEL-83319550,PROD-483921,Zoltrix 4K Display Module 27in,Product,21,pcs,189.99,EUR
OL-001,ORD-2026-115799,31-12-2026,CUST-617488,DEL-60557040,PROD-192837,Droxel 65W GaN Charger,Product,75,pcs,28.4,EUR
OL-001,ORD-2026-822040,2026-12-20,CUST-975136,DEL-33640702,PROD-192837,Droxel 65W GaN Charger,Product,21,pcs,28.4,EUR
OL-001,ORD-2027-268010,2027-01-18,CUST-266931,DEL-80980044,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,5,m,8.9,EUR
OL-001,ORD-2026-772758,2026-12-17T14:12:00,CUST-266931,DEL-50045602,PROD-029384,Trimbit Docking Station 12-in-1,Product,83,pcs,89.9,EUR
OL-002,ORD-2027-580921,2027-01-06,CUST-656932,DEL-57183837,PROD-461829,Plonex Webcam 1080p Pro,Product,64,pcs,44.0,EUR
OL-001,ORD-2026-393212,2026-12-31,CUST-103717,DEL-41711468,PROD-639182,Blipcore Wireless Adapter AC1200,Product,74,pcs,22.8,EUR
OL-002,ORD-2026-870033,26 Dec 2026,CUST-585100,DEL-70445541,PROD-192837,Droxel 65W GaN Charger,Product,7,pcs,28.4,EUR
OL-001,ORD-2026-903726,2026-12-15T17:16:00,CUST-790993,DEL-77493234,PROD-029384,Trimbit Docking Station 12-in-1,Product,29,pcs,89.9,EUR
OL-001,ORD-2026-437477,2026-12-12,CUST-627276,DEL-28208520,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,36,pcs,112.5,EUR
OL-002,ORD-2026-819064,2026-12-27,CUST-266931,DEL-50045602,PROD-029384,Trimbit Docking Station 12-in-1,Product,18,pcs,89.9,EUR
OL-002,ORD-2026-470057,2026-12-24,CUST-585100,DEL-59115280,PROD-639182,Blipcore Wireless Adapter AC1200,Product,77,pcs,22.8,EUR
OL-001,ORD-2026-250181,2026-12-28,CUST-795613,DEL-94712997,PROD-639182,Blipcore Wireless Adapter AC1200,Product,63,pcs,22.8,EUR
OL-002,ORD-2026-276470,2026-11-23,CUST-787926,DEL-84797762,PROD-192837,Droxel 65W GaN Charger,Product,1,pcs,28.4,EUR
OL-003,ORD-2026-665593,2026-12-03,CUST-922733,DEL-64414096,PROD-639182,Blipcore Wireless Adapter AC1200,Product,49,pcs,22.8,EUR
OL-003,ORD-2027-776748,2027-02-08,CUST-266931,DEL-80980044,PROD-847263,Nexboard Mechanical Keyboard TKL,Product,90,pcs,67.0,EUR
OL-003,ORD-2026-308622,2026-12-21,CUST-217308,DEL-71974027,PROD-639182,Blipcore Wireless Adapter AC1200,Product,63,pcs,22.8,EUR
OL-003,ORD-2026-319984,2026-11-16,CUST-400850,DEL-60961690,PROD-461829,Plonex Webcam 1080p Pro,Product,9,pcs,44.0,EUR
OL-001,ORD-2027-408054,2027-01-12,CUST-340174,DEL-76481885,PROD-029384,Trimbit Docking Station 12-in-1,Product,17,pcs,89.9,EUR
OL-001,ORD-2027-478458,2027-02-07,CUST-444207,DEL-96057593,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,79,pcs,112.5,EUR
OL-001,ORD-2027-656011,2027-01-20,CUST-585100,DEL-70445541,PROD-483921,Zoltrix 4K Display Module 27in,Product,56,pcs,189.99,EUR
OL-001,ORD-2027-537020,2027-02-03,CUST-571029,DEL-95618110,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,71,pcs,112.5,EUR
OL-002,ORD-2026-772561,2026-12-10,CUST-288073,DEL-22097496,PROD-461829,Plonex Webcam 1080p Pro,Product,83,pcs,44.0,EUR
OL-003,ORD-2026-460437,2026-12-16,CUST-975136,DEL-33640702,PROD-271045,Vantec USB-C Hub 9-port,Product,21,pcs,34.5,EUR
OL-001,ORD-2027-822622,2027-01-04T16:07:00,CUST-972064,DEL-23494908,PROD-029384,Trimbit Docking Station 12-in-1,Product,6,pcs,89.9,EUR
OL-002,ORD-2026-707913,2026-12-29,CUST-958179,DEL-49597485,PROD-639182,Blipcore Wireless Adapter AC1200,Product,79,pcs,22.8,EUR
OL-001,ORD-2026-856027,29 Dec 2026,CUST-169403,DEL-70254091,PROD-461829,Plonex Webcam 1080p Pro,Product,50,pcs,44.0,EUR
OL-001,ORD-2027-698199,20-01-2027,CUST-766563,DEL-63211150,PROD-583047,Veltric UPS 600VA Tower,Product,94,pcs,78.6,EUR
OL-001,ORD-2026-869105,2026-12-27,CUST-400850,DEL-84905122,PROD-483921,Zoltrix 4K Display Module 27in,Product,62,pcs,189.99,EUR
OL-001,ORD-2026-239116,28-12-2026,CUST-627276,DEL-88831486,PROD-639182,Blipcore Wireless Adapter AC1200,Product,91,pcs,22.8,EUR
OL-001,ORD-2026-581966,17/12/2026,CUST-515011,DEL-29834119,PROD-847263,Nexboard Mechanical Keyboard TKL,Product,71,pcs,67.0,EUR
OL-001,ORD-2026-470057,2026-12-24,CUST-585100,DEL-59115280,PROD-192837,Droxel 65W GaN Charger,Product,5,pcs,28.4,EUR
OL-003,ORD-2027-375201,2027-02-07T16:53:00,CUST-424308,DEL-53154591,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,81,pcs,112.5,EUR
OL-001,ORD-2027-761393,2027-01-14,CUST-107540,DEL-68755000,PROD-483921,Zoltrix 4K Display Module 27in,Product,62,pcs,189.99,EUR
OL-001,ORD-2027-616256,2027-01-23,CUST-202664,DEL-39738898,PROD-192837,Droxel 65W GaN Charger,Product,98,pcs,28.4,EUR
OL-002,ORD-2026-437477,2026-12-12,CUST-627276,DEL-28208520,PROD-583047,Veltric UPS 600VA Tower,Product,44,pcs,78.6,EUR
OL-003,ORD-2027-766833,2027-01-07,CUST-802729,DEL-90010790,PROD-583047,Veltric UPS 600VA Tower,Product,14,pcs,78.6,EUR
OL-001,ORD-2026-878533,06-12-2026,CUST-960394,DEL-59304469,PROD-583047,Veltric UPS 600VA Tower,Product,67,pcs,78.6,EUR
OL-002,ORD-2026-330069,2026-12-21,CUST-888387,DEL-87342561,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,41,m,8.9,EUR
OL-001,ORD-2027-415535,30/01/2027,CUST-371782,DEL-45000508,PROD-639182,Blipcore Wireless Adapter AC1200,Product,55,pcs,22.8,EUR
OL-002,ORD-2026-646384,2026-12-04,CUST-324643,DEL-59930790,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,27,m,8.9,EUR
OL-001,ORD-2027-961530,2027-01-09,CUST-666390,DEL-77624084,PROD-192837,Droxel 65W GaN Charger,Product,53,pcs,28.4,EUR
OL-001,ORD-2026-257538,2026-12-26,CUST-520521,DEL-85374852,PROD-639182,Blipcore Wireless Adapter AC1200,Product,47,pcs,22.8,EUR
OL-001,ORD-2026-986585,2026-12-07,CUST-972064,DEL-42542167,PROD-639182,Blipcore Wireless Adapter AC1200,Product,46,pcs,22.8,EUR
OL-001,ORD-2027-377370,2027-01-07,CUST-520521,DEL-51936181,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,59,m,8.9,EUR
OL-001,ORD-2026-243578,2026-12-16,CUST-989545,DEL-97550053,PROD-639182,Blipcore Wireless Adapter AC1200,Product,49,pcs,22.8,EUR
OL-001,ORD-2027-163577,18/01/2027,CUST-100599,DEL-56420476,PROD-029384,Trimbit Docking Station 12-in-1,Product,53,pcs,89.9,EUR
OL-003,ORD-2026-704663,2026-11-30,CUST-549245,DEL-47111151,PROD-461829,Plonex Webcam 1080p Pro,Product,22,pcs,44.0,EUR
OL-001,ORD-2027-535945,2027-01-17,CUST-320281,DEL-80322629,PROD-847263,Nexboard Mechanical Keyboard TKL,Product,61,pcs,67.0,EUR
OL-002,ORD-2027-375201,2027-02-07,CUST-424308,DEL-53154591,PROD-271045,Vantec USB-C Hub 9-port,Product,95,pcs,34.5,EUR
OL-001,ORD-2026-193035,2026-12-11,CUST-653306,DEL-24039158,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,34,m,8.9,EUR
OL-002,ORD-2026-393212,2026-12-31,CUST-103717,DEL-41711468,PROD-583047,Veltric UPS 600VA Tower,Product,13,pcs,78.6,EUR
OL-002,ORD-2027-637422,2027-01-03,CUST-989545,DEL-15006085,PROD-483921,Zoltrix 4K Display Module 27in,Product,19,pcs,189.99,EUR
OL-002,ORD-2026-957710,2026-12-21,CUST-233470,DEL-54458225,PROD-461829,Plonex Webcam 1080p Pro,Product,39,pcs,44.0,EUR
OL-001,ORD-2026-273021,27-12-2026,CUST-515011,DEL-65426567,PROD-847263,Nexboard Mechanical Keyboard TKL,Product,18,pcs,67.0,EUR
OL-001,ORD-2026-539128,2026-12-16,CUST-454508,DEL-60576565,PROD-461829,Plonex Webcam 1080p Pro,Product,31,pcs,44.0,EUR
OL-002,ORD-2027-382495,2027-01-11,CUST-103717,DEL-41711468,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,55,m,8.9,EUR
OL-001,ORD-2027-874368,2027-01-24,CUST-972064,DEL-23494908,PROD-461829,Plonex Webcam 1080p Pro,Product,61,pcs,44.0,EUR
OL-002,ORD-2026-427162,12 Dec 2026,CUST-563246,DEL-99826000,PROD-847263,Nexboard Mechanical Keyboard TKL,Product,55,pcs,67.0,EUR
OL-001,ORD-2027-280077,2027-01-20,CUST-371782,DEL-45000508,PROD-029384,Trimbit Docking Station 12-in-1,Product,85,pcs,89.9,EUR
OL-001,ORD-2027-637422,2027-01-03,CUST-989545,DEL-15006085,PROD-583047,Veltric UPS 600VA Tower,Product,21,pcs,78.6,EUR
OL-002,ORD-2027-405844,2027-01-05,CUST-526117,DEL-42194159,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,42,pcs,112.5,EUR
OL-001,ORD-2026-454877,2026-12-01,CUST-148458,DEL-28419343,PROD-583047,Veltric UPS 600VA Tower,Product,50,pcs,78.6,EUR
OL-002,ORD-2027-616256,2027-01-23,CUST-202664,DEL-39738898,PROD-029384,Trimbit Docking Station 12-in-1,Product,36,pcs,89.9,EUR
OL-001,ORD-2026-626100,2026-12-08,CUST-992697,DEL-16530784,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,74,pcs,112.5,EUR
OL-002,ORD-2027-940480,2027-01-14,CUST-371782,DEL-45106207,PROD-639182,Blipcore Wireless Adapter AC1200,Product,39,pcs,22.8,EUR
OL-001,ORD-2026-957710,2026-12-21,CUST-233470,DEL-54458225,PROD-271045,Vantec USB-C Hub 9-port,Product,46,pcs,34.5,EUR
OL-002,ORD-2026-112964,2026-12-10,CUST-814825,DEL-49172995,PROD-461829,Plonex Webcam 1080p Pro,Product,19,pcs,44.0,EUR
OL-003,ORD-2027-365978,01/02/2027,CUST-333238,DEL-87507357,PROD-192837,Droxel 65W GaN Charger,Product,72,pcs,28.4,EUR
OL-001,ORD-2026-488414,2026-12-17,CUST-400850,DEL-37820354,PROD-029384,Trimbit Docking Station 12-in-1,Product,50,pcs,89.9,EUR
OL-002,ORD-2027-921533,2027-01-08,CUST-617488,DEL-60557040,PROD-639182,Blipcore Wireless Adapter AC1200,Product,21,pcs,22.8,EUR
OL-001,ORD-2026-735132,2026-12-18,CUST-185965,DEL-95462880,PROD-639182,Blipcore Wireless Adapter AC1200,Product,65,pcs,22.8,EUR
OL-002,ORD-2026-909652,2026-12-21,CUST-627276,DEL-28208520,PROD-461829,Plonex Webcam 1080p Pro,Product,1,pcs,44.0,EUR
OL-001,ORD-2026-308622,2026-12-21,CUST-217308,DEL-71974027,PROD-583047,Veltric UPS 600VA Tower,Product,100,pcs,78.6,EUR
OL-003,ORD-2027-508422,06/02/2027,CUST-666390,DEL-77624084,PROD-483921,Zoltrix 4K Display Module 27in,Product,75,pcs,189.99,EUR
OL-003,ORD-2027-243601,2027-02-06,CUST-989545,DEL-63283709,PROD-029384,Trimbit Docking Station 12-in-1,Product,20,pcs,89.9,EUR
OL-001,ORD-2027-398090,2027-02-07,CUST-738551,DEL-16917129,PROD-271045,Vantec USB-C Hub 9-port,Product,76,pcs,34.5,EUR
OL-001,ORD-2026-822303,2026-12-11,CUST-515011,DEL-29834119,PROD-029384,Trimbit Docking Station 12-in-1,Product,81,pcs,89.9,EUR
OL-003,ORD-2027-507135,2027-01-01,CUST-340174,DEL-86745380,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,61,m,8.9,EUR
OL-001,ORD-2027-812591,2027-01-23,CUST-922157,DEL-26937148,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,58,m,8.9,EUR
OL-001,ORD-2027-862760,2027-01-17,CUST-559381,DEL-67279295,PROD-483921,Zoltrix 4K Display Module 27in,Product,65,pcs,189.99,EUR
OL-001,ORD-2026-940534,2026-12-18,CUST-498382,DEL-76669607,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,13,m,8.9,EUR
OL-002,ORD-2026-587222,2026-12-16,CUST-100599,DEL-56420476,PROD-639182,Blipcore Wireless Adapter AC1200,Product,62,pcs,22.8,EUR
OL-001,ORD-2026-736030,2026-12-30,CUST-922157,DEL-19863756,PROD-192837,Droxel 65W GaN Charger,Product,98,pcs,28.4,EUR
OL-001,ORD-2026-431845,2026-12-24,CUST-373432,DEL-42655866,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,73,pcs,112.5,EUR
OL-002,ORD-2027-617033,2027-01-16,CUST-653306,DEL-21819185,PROD-461829,Plonex Webcam 1080p Pro,Product,62,pcs,44.0,EUR
OL-002,ORD-2027-978343,2027-01-11,CUST-183667,DEL-45859307,PROD-192837,Droxel 65W GaN Charger,Product,21,pcs,28.4,EUR
OL-003,ORD-2026-869105,2026-12-27,CUST-400850,DEL-84905122,PROD-461829,Plonex Webcam 1080p Pro,Product,58,pcs,44.0,EUR
OL-002,ORD-2026-611751,2026-12-27,CUST-771088,DEL-96911784,PROD-483921,Zoltrix 4K Display Module 27in,Product,12,pcs,189.99,EUR
OL-002,ORD-2027-698199,2027-01-20,CUST-766563,DEL-63211150,PROD-847263,Nexboard Mechanical Keyboard TKL,Product,42,pcs,67.0,EUR
OL-001,ORD-2027-580921,2027-01-06,CUST-656932,DEL-57183837,PROD-029384,Trimbit Docking Station 12-in-1,Product,1,pcs,89.9,EUR
OL-001,ORD-2027-226550,2027-01-12,CUST-741390,DEL-71851421,PROD-847263,Nexboard Mechanical Keyboard TKL,Product,44,pcs,67.0,EUR
OL-003,ORD-2026-885587,23 Dec 2026,CUST-444207,DEL-26733967,PROD-564738,Fomex Cat8 Patch Cable 3m,Product,14,m,8.9,EUR
OL-001,ORD-2026-932336,13-12-2026,CUST-373432,DEL-70152969,PROD-029384,Trimbit Docking Station 12-in-1,Product,50,pcs,89.9,EUR
OL-001,ORD-2027-344181,2027-01-14,CUST-563246,DEL-45835371,PROD-029384,Trimbit Docking Station 12-in-1,Product,98,pcs,89.9,EUR
OL-001,ORD-2026-517307,2026-12-07,CUST-373432,DEL-42655866,PROD-192837,Droxel 65W GaN Charger,Product,55,pcs,28.4,EUR
OL-002,ORD-2027-142773,2027-01-11,CUST-163918,DEL-80392240,PROD-461829,Plonex Webcam 1080p Pro,Product,15,pcs,44.0,EUR
OL-001,ORD-2027-226124,2027-01-11,CUST-814825,DEL-49172995,PROD-639182,Blipcore Wireless Adapter AC1200,Product,28,pcs,22.8,EUR
OL-001,ORD-2026-326037,2026-12-24,CUST-333238,DEL-87507357,PROD-847263,Nexboard Mechanical Keyboard TKL,Product,24,pcs,67.0,EUR
